Time                          Song // Artist
2020-08-12 15:38:18.151100    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:19.220469    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:20.297027    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:21.387801    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:22.460332    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:23.535416    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:24.592248    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:25.655907    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:26.718623    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:27.786923    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:28.851942    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:29.920363    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:30.985036    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:32.059139    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:33.125759    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:34.187323    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:35.243328    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:36.390309    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:37.450110    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:38.591270    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
